Suburb,No_of_Crimes,Crime_Type_1,Crime_Type_2,Crime_Type_3
EDWARDSTOWN,3930,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
ELIZABETH DOWNS,3836,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
ELIZABETH VALE,3742,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
NORWOOD,3244,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
BLAKEVIEW,3198,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
ELIZABETH EAST,3119,ACTS INTENDED TO CAUSE INJURY,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL
BROMPTON,2853,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
MILE END,2798,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
SEAFORD,2782,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
ANDREWS FARM,2747,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
ELIZABETH PARK,2734,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
ENFIELD,2724,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
GOLDEN GROVE,2720,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
PLYMPTON,2719,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
ELIZABETH NORTH,2713,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
PARA HILLS,2692,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
CRAIGMORE,2617,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
PARA HILLS WEST,2548,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
GEPPS CROSS,2467,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
ALDINGA BEACH,2462,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
TAPEROO,2441,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
MITCHELL PARK,2436,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
SALISBURY EAST,2401,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
GILLES PLAINS,2373,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
ANGLE VALE,2366,THEFT AND RELATED OFFENCES,SERIOUS CRIMINAL TRESPASS,ACTS INTENDED TO CAUSE INJURY
SEMAPHORE PARK,2363,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
HILLBANK,2362,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
SMITHFIELD PLAINS,2354,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
CAMPBELLTOWN,2338,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
ROSEWATER,2307,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
TORRENSVILLE,2293,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,SERIOUS CRIMINAL TRESPASS
KILKENNY,2279,THEFT AND RELATED OFFENCES,ACTS INTENDED TO CAUSE INJURY,PROPERTY DAMAGE AND ENVIRONMENTAL
BURTON,2268,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
GREENACRES,2245,THEFT AND RELATED OFFENCES,PROPERTY DAMAGE AND ENVIRONMENTAL,ACTS INTENDED TO CAUSE INJURY
